mz_rt	C1	C2	C3	H1	H2	H3	QC01	QC02	QC03
824.4255_2.49	1473662.239	1315943.299	2792778.592	0	0	0	2074707.804	2158578.943	2110329.502
515.2326_2.51	701260.466	581282.9182	924940.31	4569.198641	4132.661278	1784.485504	933747.5549	1025270.758	852060.5401
245.0952_2.53	307943.5514	169251.741	210886.7721	0	0	0	241444.5714	228372.2226	242163.8944
525.283_2.53	588607.5085	493572.9731	826398.386	0	0	0	698579.3577	675941.8765	738992.2901
612.3101_2.53	1782588.593	1467631.08	1877614.464	0	0	0	1861465.509	1871442.463	1947779.624
511.2507_2.56	4172275.066	3855426.77	5275781.498	4070.202712	0	0	4496054.816	4265760.036	4500117.069
610.2823_2.56	10877327.7	10191143.73	12386011.97	0	0	0	9215099.4	9238534.691	9341694.569
587.2841_2.57	4327920.068	3890479.696	5264037.637	0	0	81.22472812	4327606.161	4413069.504	4405888.433
517.7728_2.58	2233532.393	2379299.496	2655494.925	95.1261415	0	0	2214318.323	2409364.148	2257348.609
534.2593_2.58	2004988.456	1999149.798	2200600.914	0	0	0	1896143.46	1956839.457	1942077.132
578.2786_2.58	1559518.73	1245364.382	1762582.76	0	0	0	1424430.687	1538428.547	1388687.022
469.2406_2.59	1565824.769	1452399.989	1910594.016	0	0	0	1334042.204	1454034.212	1342383.546
483.7348_2.59	2181381.107	2287495.844	1918235.637	16605.51644	14183.10134	2806.003472	1903223.436	2225961.55	2043871.616
438.7376_2.62	919694.6924	1021620.299	859142.3148	0	0	0	885376.8948	972460.4005	883466.6044
506.1913_2.62	1918913.272	2251170.136	1755707.569	0	0	0	1773135.17	2048472.097	1916031.183
262.1758_2.63	0	0	1412.87935	205119.0576	167563.6113	176933.0306	478.069835	0	0
463.2454_2.63	2747485.955	2698066.181	2621213.139	0	0	0	2372911.038	2653116.129	2356255.63
639.3096_2.63	3182399.37	3318303.923	2825609.435	0	0	0	2872848.344	3096774.459	2861581.746
355.1608_2.64	654254.449	770540.2476	460944.9525	0	0	0	673802.5995	770274.4815	696464.5631
286.1758_2.65	710016.8115	705473.2453	734359.4472	1008.628164	0	0	635370.268	677016.1021	632059.2231
223.1076_2.67	343300.703	351057.1469	323654.7441	2.279796163	503.6810136	34.15617664	300004.0362	331178.4655	293038.2838
586.2821_2.67	2234899.387	2237081.552	2083995.552	0	0	0	1998667.511	2223226.987	2118604.805
276.1704_2.67	423062.7006	439545.9934	449129.9888	0	0	0	385605.1833	385864.1765	367189.0704
561.7613_2.67	5900203.975	6335309.835	4651624.097	0	0	0	5929383.799	6698209.798	5932505.375
204.0865_2.7	0	0	0	154930.1572	98247.52227	74598.42019	1123.094238	1244.849008	4055.804831
471.2558_2.71	15158591.15	14927164.37	16031410.1	0	0	0	13646744.98	14260645.29	13244004.68
